User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
1,25.0,Female,Instagram,120.0,3.0,45.0,10.0,12.0,Happiness
2,30.0,Male,Twitter,90.0,5.0,20.0,25.0,30.0,Anger
3,22.0,Non-binary,Facebook,60.0,2.0,15.0,5.0,20.0,Neutral
4,28.0,Female,Instagram,200.0,8.0,100.0,30.0,50.0,Anxiety
5,33.0,Male,LinkedIn,45.0,1.0,5.0,2.0,10.0,Boredom
6,21.0,Male,Instagram,150.0,4.0,60.0,15.0,25.0,Happiness
7,27.0,Female,Twitter,85.0,3.0,30.0,10.0,18.0,Anger
8,24.0,Non-binary,Facebook,110.0,6.0,25.0,12.0,22.0,Sadness
9,29.0,Female,LinkedIn,55.0,2.0,10.0,3.0,8.0,Neutral
10,31.0,Male,Instagram,170.0,5.0,80.0,20.0,35.0,Happiness
11,23.0,Female,Twitter,75.0,4.0,35.0,7.0,20.0,Anxiety
12,26.0,Non-binary,Facebook,95.0,3.0,20.0,10.0,18.0,Sadness
13,34.0,Male,LinkedIn,65.0,1.0,12.0,4.0,15.0,Boredom
14,22.0,Female,Instagram,180.0,7.0,90.0,25.0,40.0,Happiness
15,28.0,Male,Twitter,100.0,6.0,40.0,23.0,28.0,Anger
16,21.0,Non-binary,Facebook,40.0,1.0,5.0,2.0,10.0,Neutral
17,35.0,Female,Instagram,125.0,4.0,55.0,18.0,30.0,Anxiety
18,27.0,Male,Twitter,90.0,3.0,33.0,15.0,25.0,Sadness
19,23.0,Non-binary,LinkedIn,50.0,1.0,8.0,3.0,12.0,Neutral
20,32.0,Female,Instagram,140.0,5.0,70.0,22.0,33.0,Happiness
21,26.0,Male,Facebook,75.0,2.0,25.0,10.0,18.0,Anxiety
22,24.0,Female,Twitter,105.0,4.0,28.0,14.0,20.0,Anger
23,29.0,Male,LinkedIn,60.0,2.0,11.0,5.0,17.0,Boredom
24,33.0,Non-binary,Instagram,190.0,8.0,95.0,26.0,45.0,Happiness
25,22.0,Female,Twitter,70.0,3.0,20.0,12.0,15.0,Sadness
26,31.0,Male,Facebook,80.0,2.0,18.0,8.0,21.0,Neutral
27,27.0,Non-binary,LinkedIn,55.0,1.0,9.0,2.0,11.0,Anxiety
28,25.0,Female,Instagram,160.0,6.0,85.0,19.0,32.0,Happiness
29,30.0,Male,Twitter,90.0,4.0,38.0,17.0,24.0,Anger
30,26.0,Non-binary,Facebook,45.0,1.0,6.0,3.0,10.0,Sadness
31,34.0,Female,LinkedIn,65.0,2.0,13.0,4.0,14.0,Boredom
32,28.0,Male,Instagram,145.0,5.0,75.0,20.0,35.0,Happiness
33,23.0,Non-binary,Twitter,70.0,3.0,27.0,11.0,18.0,Neutral
34,21.0,Female,Instagram,130.0,6.0,88.0,15.0,30.0,Sadness
35,29.0,Male,Facebook,65.0,2.0,22.0,8.0,20.0,Anxiety
36,24.0,Non-binary,LinkedIn,55.0,1.0,10.0,5.0,11.0,Boredom
37,33.0,Female,Instagram,170.0,7.0,90.0,25.0,40.0,Happiness
38,27.0,Male,Twitter,85.0,4.0,35.0,15.0,20.0,Anger
39,22.0,Female,Instagram,115.0,3.0,55.0,12.0,25.0,Neutral
40,28.0,Non-binary,Facebook,100.0,2.0,18.0,10.0,22.0,Anxiety
41,31.0,Male,LinkedIn,45.0,1.0,6.0,2.0,9.0,Sadness
42,25.0,Female,Instagram,150.0,6.0,80.0,18.0,30.0,Happiness
43,29.0,Male,Twitter,95.0,4.0,40.0,20.0,22.0,Anger
44,23.0,Non-binary,Facebook,105.0,2.0,20.0,8.0,18.0,Neutral
45,35.0,Female,LinkedIn,60.0,1.0,12.0,5.0,14.0,Boredom
46,30.0,Male,Instagram,175.0,7.0,85.0,23.0,38.0,Happiness
47,21.0,Female,Twitter,90.0,3.0,33.0,12.0,20.0,Sadness
48,26.0,Non-binary,Facebook,75.0,2.0,28.0,11.0,18.0,Anxiety
49,32.0,Male,Instagram,130.0,5.0,70.0,19.0,31.0,Neutral
50,28.0,Female,LinkedIn,55.0,1.0,8.0,4.0,10.0,Boredom
51,27.0,Male,Instagram,165.0,6.0,78.0,22.0,27.0,Happiness
52,24.0,Female,Twitter,75.0,3.0,29.0,15.0,19.0,Anger
53,29.0,Non-binary,Facebook,85.0,2.0,25.0,7.0,20.0,Neutral
54,33.0,Female,Instagram,145.0,4.0,60.0,18.0,35.0,Sadness
55,31.0,Male,LinkedIn,60.0,1.0,10.0,3.0,17.0,Anxiety
56,22.0,Female,Whatsapp,70.0,2.0,40.0,8.0,21.0,Anxiety
57,25.0,Male,Telegram,90.0,3.0,20.0,10.0,22.0,Boredom
58,29.0,Non-binary,Snapchat,50.0,2.0,15.0,5.0,18.0,Sadness
59,28.0,Female,Twitter,95.0,4.0,45.0,20.0,25.0,Happiness
60,27.0,Male,Facebook,60.0,1.0,10.0,4.0,15.0,Boredom
61,30.0,Female,Instagram,175.0,6.0,70.0,23.0,33.0,Happiness
62,23.0,Male,Whatsapp,70.0,3.0,20.0,8.0,18.0,Anger
63,34.0,Non-binary,Telegram,80.0,2.0,18.0,7.0,20.0,Neutral
64,26.0,Female,Snapchat,120.0,4.0,50.0,15.0,30.0,Anxiety
65,25.0,Male,Twitter,90.0,6.0,40.0,12.0,26.0,Sadness
66,29.0,Non-binary,Facebook,60.0,1.0,8.0,2.0,12.0,Boredom
67,28.0,Male,Instagram,165.0,5.0,75.0,18.0,35.0,Happiness
68,31.0,Female,Whatsapp,65.0,2.0,25.0,8.0,20.0,Neutral
69,27.0,Male,Telegram,105.0,3.0,45.0,15.0,28.0,Anxiety
70,22.0,Non-binary,Snapchat,75.0,2.0,18.0,6.0,20.0,Sadness
71,24.0,Female,Instagram,140.0,4.0,60.0,18.0,30.0,Happiness
72,35.0,Male,Twitter,70.0,1.0,12.0,7.0,10.0,Boredom
73,21.0,Non-binary,Facebook,55.0,3.0,15.0,5.0,12.0,Neutral
74,29.0,Female,Whatsapp,90.0,2.0,20.0,9.0,22.0,Anger
75,25.0,Male,Telegram,80.0,4.0,28.0,11.0,25.0,Neutral
76,28.0,Non-binary,Snapchat,115.0,3.0,36.0,12.0,27.0,Anxiety
77,32.0,Female,Instagram,155.0,6.0,72.0,20.0,38.0,Happiness
78,26.0,Male,Twitter,75.0,2.0,22.0,10.0,18.0,Sadness
79,33.0,Non-binary,Facebook,65.0,1.0,12.0,5.0,14.0,Anxiety
80,27.0,Female,Whatsapp,90.0,4.0,35.0,14.0,20.0,Neutral
81,31.0,Male,Telegram,50.0,2.0,18.0,6.0,12.0,Sadness
82,24.0,Non-binary,Snapchat,85.0,3.0,30.0,13.0,18.0,Happiness
83,34.0,Female,Instagram,120.0,5.0,55.0,19.0,25.0,Anger
84,22.0,Male,Twitter,70.0,1.0,20.0,5.0,22.0,Neutral
85,29.0,Non-binary,Facebook,75.0,2.0,18.0,8.0,20.0,Boredom
86,28.0,Female,Whatsapp,100.0,4.0,35.0,12.0,26.0,Anxiety
87,31.0,Male,Telegram,85.0,3.0,40.0,15.0,28.0,Sadness
88,21.0,Non-binary,Snapchat,60.0,1.0,15.0,5.0,12.0,Neutral
89,25.0,Female,Instagram,170.0,6.0,78.0,22.0,33.0,Happiness
90,30.0,Male,Twitter,70.0,2.0,28.0,10.0,20.0,Anxiety
91,27.0,Non-binary,Facebook,50.0,1.0,8.0,2.0,10.0,Boredom
92,32.0,Female,Whatsapp,105.0,4.0,50.0,18.0,25.0,Anger
93,24.0,Male,Telegram,75.0,3.0,33.0,13.0,22.0,Neutral
94,29.0,Female,Snapchat,95.0,2.0,20.0,7.0,28.0,Sadness
95,26.0,Male,Instagram,150.0,5.0,65.0,20.0,30.0,Anxiety
96,33.0,Non-binary,Twitter,85.0,4.0,30.0,13.0,18.0,Boredom
97,22.0,Female,Facebook,70.0,1.0,12.0,5.0,10.0,Neutral
98,35.0,Male,Whatsapp,110.0,3.0,45.0,20.0,25.0,Happiness
99,28.0,Non-binary,Telegram,60.0,2.0,15.0,6.0,18.0,Anger
100,27.0,Female,Snapchat,120.0,4.0,38.0,13.0,22.0,Neutral
101,25.0,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness
102,30.0,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger
103,22.0,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral
104,28.0,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety
105,33.0,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom
106,21.0,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness
107,27.0,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger
108,24.0,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness
109,29.0,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral
110,31.0,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness
111,23.0,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety
112,26.0,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness
113,34.0,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom
114,22.0,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness
115,28.0,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger
116,21.0,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral
117,35.0,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety
118,27.0,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness
119,23.0,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral
120,32.0,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness
121,26.0,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety
122,24.0,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger
123,29.0,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom
124,33.0,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness
125,22.0,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness
126,31.0,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral
127,27.0,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety
128,25.0,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness
129,30.0,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger
130,26.0,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness
131,34.0,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom
132,28.0,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness
133,23.0,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral
134,21.0,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness
135,29.0,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety
136,24.0,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom
137,33.0,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness
138,27.0,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger
139,22.0,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral
140,28.0,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety
141,31.0,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness
142,25.0,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness
143,29.0,Male,Twitter,95.0,4.0,50.0,22.0,22.0,Anger
144,23.0,Non-binary,Facebook,105.0,2.0,25.0,12.0,18.0,Neutral
145,35.0,Female,LinkedIn,60.0,1.0,15.0,7.0,14.0,Boredom
146,30.0,Male,Instagram,175.0,7.0,100.0,33.0,38.0,Happiness
147,21.0,Female,Twitter,90.0,3.0,37.0,14.0,20.0,Sadness
148,26.0,Non-binary,Facebook,75.0,2.0,30.0,12.0,18.0,Anxiety
149,32.0,Male,Instagram,130.0,5.0,80.0,28.0,31.0,Neutral
150,28.0,Female,LinkedIn,55.0,1.0,12.0,6.0,10.0,Boredom
151,27.0,Male,Instagram,165.0,6.0,85.0,30.0,28.0,Happiness
152,24.0,Female,Twitter,75.0,3.0,33.0,18.0,19.0,Anger
153,29.0,Non-binary,Facebook,85.0,2.0,27.0,9.0,20.0,Neutral
154,33.0,Female,Instagram,145.0,4.0,65.0,23.0,35.0,Sadness
155,31.0,Male,LinkedIn,60.0,1.0,15.0,7.0,17.0,Anxiety
156,22.0,Female,Whatsapp,70.0,2.0,42.0,10.0,21.0,Anxiety
157,25.0,Male,Telegram,90.0,3.0,22.0,11.0,22.0,Boredom
158,29.0,Non-binary,Snapchat,50.0,2.0,18.0,7.0,18.0,Sadness
159,28.0,Female,Twitter,95.0,4.0,48.0,22.0,25.0,Happiness
160,27.0,Male,Facebook,60.0,1.0,12.0,5.0,15.0,Boredom
161,30.0,Female,Instagram,175.0,6.0,72.0,30.0,33.0,Happiness
162,23.0,Male,Whatsapp,70.0,3.0,22.0,10.0,18.0,Anger
163,34.0,Non-binary,Telegram,80.0,2.0,21.0,8.0,20.0,Neutral
164,26.0,Female,Snapchat,120.0,4.0,55.0,18.0,30.0,Anxiety
165,25.0,Male,Twitter,90.0,6.0,42.0,14.0,26.0,Sadness
166,29.0,Non-binary,Facebook,60.0,1.0,12.0,4.0,12.0,Boredom
167,28.0,Male,Instagram,165.0,5.0,78.0,23.0,35.0,Happiness
168,31.0,Female,Whatsapp,65.0,2.0,27.0,10.0,20.0,Neutral
169,27.0,Male,Telegram,105.0,3.0,48.0,20.0,28.0,Anxiety
170,22.0,Non-binary,Snapchat,75.0,2.0,21.0,8.0,20.0,Sadness
171,24.0,Female,Instagram,140.0,4.0,65.0,22.0,30.0,Happiness
172,35.0,Male,Twitter,70.0,1.0,13.0,8.0,10.0,Boredom
173,21.0,Non-binary,Facebook,55.0,3.0,17.0,7.0,12.0,Neutral
174,29.0,Female,Whatsapp,90.0,2.0,24.0,12.0,22.0,Anger
175,25.0,Male,Telegram,80.0,4.0,30.0,13.0,25.0,Neutral
176,28.0,Non-binary,Snapchat,115.0,3.0,38.0,18.0,27.0,Anxiety
177,32.0,Female,Instagram,155.0,6.0,75.0,25.0,38.0,Happiness
178,26.0,Male,Twitter,75.0,2.0,23.0,12.0,18.0,Sadness
179,33.0,Non-binary,Facebook,65.0,1.0,13.0,7.0,14.0,Anxiety
180,27.0,Female,Whatsapp,90.0,4.0,37.0,18.0,20.0,Neutral
181,31.0,Male,Telegram,50.0,2.0,20.0,10.0,12.0,Sadness
182,24.0,Non-binary,Snapchat,85.0,3.0,33.0,20.0,18.0,Happiness
183,34.0,Female,Instagram,120.0,5.0,60.0,25.0,25.0,Anger
184,22.0,Male,Twitter,70.0,1.0,22.0,7.0,22.0,Neutral
185,29.0,Non-binary,Facebook,75.0,2.0,20.0,8.0,20.0,Boredom
186,28.0,Female,Whatsapp,100.0,4.0,37.0,14.0,26.0,Anxiety
187,31.0,Male,Telegram,85.0,3.0,45.0,20.0,28.0,Sadness
188,21.0,Non-binary,Snapchat,60.0,1.0,18.0,7.0,12.0,Neutral
189,25.0,Female,Instagram,170.0,6.0,83.0,30.0,33.0,Happiness
190,30.0,Male,Twitter,70.0,2.0,30.0,12.0,20.0,Anxiety
191,27.0,Non-binary,Facebook,50.0,1.0,10.0,4.0,10.0,Boredom
192,32.0,Female,Whatsapp,105.0,4.0,55.0,25.0,25.0,Anger
193,24.0,Male,Telegram,75.0,3.0,37.0,16.0,22.0,Neutral
194,29.0,Female,Snapchat,95.0,2.0,23.0,10.0,28.0,Sadness
195,26.0,Male,Instagram,150.0,5.0,70.0,25.0,30.0,Anxiety
196,33.0,Non-binary,Twitter,85.0,4.0,35.0,18.0,18.0,Boredom
197,22.0,Female,Facebook,70.0,1.0,14.0,6.0,10.0,Neutral
198,35.0,Male,Whatsapp,110.0,3.0,50.0,25.0,25.0,Happiness
199,28.0,Non-binary,Telegram,60.0,2.0,18.0,8.0,18.0,Anger
200,27.0,Female,Snapchat,120.0,4.0,40.0,18.0,22.0,Neutral
201,25.0,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness
202,30.0,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger
203,22.0,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral
204,28.0,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety
205,33.0,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom
206,21.0,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness
207,27.0,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger
208,24.0,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness
209,29.0,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral
210,31.0,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness
211,23.0,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety
212,26.0,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness
213,34.0,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom
214,22.0,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness
215,28.0,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger
216,21.0,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral
217,35.0,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety
218,27.0,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness
219,23.0,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral
220,32.0,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness
221,26.0,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety
222,24.0,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger
223,29.0,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom
224,33.0,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness
225,22.0,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness
226,31.0,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral
227,27.0,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety
228,25.0,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness
229,30.0,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger
230,26.0,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness
231,34.0,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom
232,28.0,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness
233,23.0,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral
234,21.0,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness
235,29.0,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety
236,24.0,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom
237,33.0,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness
238,27.0,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger
239,22.0,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral
240,28.0,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety
241,31.0,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness
242,25.0,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness
243,29.0,Male,Twitter,95.0,4.0,50.0,22.0,22.0,Anger
244,23.0,Non-binary,Facebook,105.0,2.0,25.0,12.0,18.0,Neutral
245,35.0,Female,LinkedIn,60.0,1.0,15.0,7.0,14.0,Boredom
246,30.0,Male,Instagram,175.0,7.0,100.0,33.0,38.0,Happiness
247,21.0,Female,Twitter,90.0,3.0,37.0,14.0,20.0,Sadness
248,26.0,Non-binary,Facebook,75.0,2.0,30.0,12.0,18.0,Anxiety
249,32.0,Male,Instagram,130.0,5.0,80.0,28.0,31.0,Neutral
